1	Greater London	administrative area	London	"81,96,700"	"5,223"	"1,569"
63	Peterborough	unitary	East	"1,84,500"	537	343
64	Herefordshire	unitary	West Midlands	"1,83,600"	84	"2,180"
65	Bournemouth	unitary	South West	"1,83,500"	"3,974"	46
66	Bath and North East Somerset	unitary	South West	"1,75,500"	508	346
67	Southend-on-Sea	unitary	East	"1,74,300"	"4,174"	42
68	North Lincolnshire	unitary	Yorkshire and the Humber	"1,67,500"	198	846
69	Telford and Wrekin	unitary	West Midlands	"1,66,800"	575	290
70	North East Lincolnshire	unitary	Yorkshire and the Humber	"1,59,700"	832	192
71	Thurrock	unitary	East	"1,58,300"	969	163
72	Bedford	unitary	East	"1,57,800"	331	476
73	Reading	unitary	South East	"1,55,300"	"3,844"	40
74	Wokingham	unitary	South East	"1,54,900"	866	179
75	West Berkshire	unitary	South East	"1,54,100"	219	704
76	Poole	unitary	South West	"1,48,100"	"2,287"	65
77	Blackburn with Darwen	unitary	North West	"1,47,700"	"1,078"	137
78	Windsor and Maidenhead	unitary	South East	"1,45,100"	738	197
79	Blackpool	unitary	North West	"1,42,100"	"4,077"	35
80	Slough	unitary	South East	"1,40,700"	"4,323"	33
81	Middlesbrough	unitary	North East	"1,38,400"	"2,569"	54
82	Isle of Wight	unitary	South East	"1,38,400"	364	380
83	Redcar and Cleveland	unitary	North East	"1,35,200"	552	245
84	Torbay	unitary	South West	"1,31,200"	"2,086"	63
85	Halton	unitary	North West	"1,25,700"	"1,589"	79
86	Bracknell Forest	unitary	South East	"1,13,700"	"1,039"	109
87	Darlington	unitary	North East	"1,05,600"	535	197
88	Hartlepool	unitary	North East	"92,100"	981	94
89	Rutland	unitary	East Midlands	"37,600"	99	382
90	Isles of Scilly	unitary	South West	"2,200"	134	16
91	Clwyd		Wales	"491,100"		
92	Conwy		Wales			
93	Denbighshire		Wales			
94	Flintshire		Wales			
95	Wrexham		Wales			
96	Dyfed		Wales	"375,200"		
97	Carmarthenshire		Wales			
98	Ceredigion		Wales			
99	Pembrokeshire		Wales			
100	Gwent		Wales	"560,500"		
101	Blaenau Gwent		Wales			
102	Caerphilly		Wales			
103	Monmouthshire		Wales			
104	Newport		Wales			
105	Torfaen		Wales			
106	Gwynedd		Wales	"187,400"		
107	Isle of Anglesey		Wales			
108	Mid Glamorgan		Wales	"423,200"		
109	Bridgend		Wales			
110	Merthyr Tydfil		Wales			
111	Rhondda Cynon Taf		Wales			
112	Powys		Wales	"132,000"		
113	South Glamorgan		Wales	"445,000"		
114	Cardiff		Wales			
115	Vale of Glamorgan		Wales			
116	West Glamorgan		Wales	"365,500"		
117	Neath Port Talbot		Wales			
118	Swansea		Wales			
119	Aberdeenshire		Scotland			
120	Angus		Scotland			
121	Argyllshire		Scotland			
122	Ayrshire		Scotland			
123	Banffshire		Scotland			
124	Berwickshire		Scotland			
125	Buteshire		Scotland			
126	Caithness		Scotland			
127	Clackmannanshire		Scotland			
128	Dumfriesshire		Scotland			
129	Dunbartonshire		Scotland			
130	East Lothian		Scotland			
131	Fife		Scotland			
132	Inverness-shire		Scotland			
133	Kincardineshire		Scotland			
134	Kinross-shire		Scotland			
135	Kirkcudbrightshire		Scotland			
136	Lanarkshire		Scotland			
137	Midlothian		Scotland			
138	Moray		Scotland			
139	Nairnshire		Scotland			
140	Orkney		Scotland			
141	Peebleshire		Scotland			
142	Perthshire		Scotland			
143	Renfrewshire		Scotland			
144	Ross and Cromarty		Scotland			
145	Roxburghshire		Scotland			
146	Selkirkshire		Scotland			
147	Shetland		Scotland			
148	Stirlingshire		Scotland			
149	Sutherland		Scotland			
150	West Lothian		Scotland			
151	Wigtownshire		Scotland			
151	South Ayrshire		Scotland			
152	North Ayrshire		Scotland			
